hs_section,flow,event_year,event_label,pre_share_pct,post_share_pct,delta_pp,baseline_sigma_pp,z_score
15 Base metal and articles of base metal,import,2020,Tariff removal Apr + COVID shock,10.627914890209972,10.65228311527266,0.024368225062687543,0.6241703054703209,0.03904098745025326
07 Plastics. rubber and articles therof,import,2018,Serbia tariff onset (Nov),6.3756433339087595,6.3937943436696205,0.018151009760861037,0.4718109271642996,0.038470939768082725
15 Base metal and articles of base metal,import,2016,SAA into force,9.889156008249914,9.872188243526692,-0.0169677647232227,0.6241703054703209,-0.027184511301666707
04 Prepared foodstufs beverageas and tobacco,import,2016,SAA into force,13.386032685389651,13.37354135679853,-0.012491328591121231,0.5166352053442878,-0.024178237297624656
11 Textils and textile articles,import,2020,Tariff removal Apr + COVID shock,4.956693059737556,4.94774066654614,-0.008952393191416164,0.4356761127545125,-0.02054827641298872
12 Footwear,import,2022,Energy / Ukraine shock,0.954079875769582,0.9553860023307461,0.0013061265611641337,0.11325629650766765,0.011532485181304748
21 Works of art,import,2018,Serbia tariff onset (Nov),0.07755123205704725,0.07651603176685108,-0.0010352002901961727,0.14375404338558184,-0.007201190768732148
19 Arms and ammunition,import,2018,Serbia tariff onset (Nov),0.08145668978653883,0.07774100533281784,-0.003715684453720988,0.7785523648717668,-0.004772555606241063
19 Arms and ammunition,export,2016,SAA into force,0.0,0.0,0.0,0.00014769931564896893,0.0
19 Arms and ammunition,export,2018,Serbia tariff onset (Nov),0.0,0.0,0.0,0.00014769931564896893,0.0
19 Arms and ammunition,export,2020,Tariff removal Apr + COVID shock,0.0,0.0,0.0,0.00014769931564896893,0.0
19 Arms and ammunition,export,2022,Energy / Ukraine shock,0.0,0.0,0.0,0.00014769931564896893,0.0
